month,city,market,month_on_month,yoy,year_avg,methodology,source_url
2021-02,北京,secondhand,101.2,108.5,105.2,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2021-02,深圳,secondhand,100.9,116.0,108.6,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2021-02,重庆,secondhand,100.2,100.7,100.9,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2021-03,上海,secondhand,101.1,109.7,107.0,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2021-03,北京,secondhand,101.4,109.9,106.7,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2021-03,深圳,secondhand,100.4,114.6,109.0,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2021-03,重庆,secondhand,100.8,102.3,101.7,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2021-04,上海,secondhand,100.9,109.3,107.9,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2021-04,北京,secondhand,101.2,110.1,108.0,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2021-04,深圳,secondhand,100.0,112.9,109.0,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2021-04,重庆,secondhand,101.3,103.7,103.0,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2021-05,上海,secondhand,100.7,109.4,108.6,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2021-05,北京,secondhand,101.1,109.3,109.2,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2021-05,深圳,secondhand,99.9,110.9,108.9,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2021-05,重庆,secondhand,101.0,104.8,104.1,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2021-06,上海,secondhand,101.0,110.1,109.6,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
